 Rainfall, Temperature, Ph,Crop
404.59113,22.0,3.1,Bajra
404.61871,22.0,3.1,Bajra
404.62857,22.0,3.1,Bajra
404.6583,22.0,3.1,Bajra
404.66667,22.0,3.1,Bajra
404.6815,22.0,3.1,Bajra
404.71245,22.0,3.1,Bajra
404.73344,22.0,3.1,Bajra
404.73684,22.0,3.1,Bajra
404.84824,22.0,3.1,Bajra
404.8785,22.0,3.1,Bajra
404.8956,22.0,3.1,Bajra
404.90089,22.0,3.1,Bajra
405.02538,22.0,3.1,Bajra
405.03192,22.0,3.1,Bajra
405.04,22.0,3.1,Bajra
405.0449,22.0,3.1,Bajra
405.06375,22.0,3.1,Bajra
405.07203,22.0,3.1,Bajra
405.10907,22.0,3.1,Bajra
405.12621,22.0,3.1,Bajra
405.15098,22.0,3.1,Bajra
405.18606,22.0,3.1,Bajra
405.19975,22.0,3.1,Bajra
405.22581,22.0,3.1,Bajra
405.24024,22.0,3.1,Bajra
405.25,22.0,3.1,Bajra
405.29412,22.0,3.1,Bajra
405.30551,22.0,3.1,Bajra
405.3446,22.0,3.1,Bajra
405.35135,22.0,3.1,Bajra
405.35537,22.0,3.1,Bajra
405.37668,22.0,3.1,Bajra
405.38749,22.0,3.1,Bajra
405.39542,22.0,3.1,Bajra
405.4,22.0,3.1,Bajra
405.4,22.0,3.1,Bajra
405.43273,22.0,3.1,Bajra
405.43374,22.0,3.1,Bajra
405.44186,22.0,3.1,Bajra
405.44186,22.0,3.1,Bajra
405.45485,22.0,3.1,Bajra
405.47826,22.0,3.1,Bajra
405.47909,22.0,3.1,Bajra
405.48259,22.0,3.1,Bajra
405.4871,22.0,3.1,Bajra
405.48936,22.0,3.1,Bajra
405.53846,22.0,3.1,Bajra
405.54385,22.0,3.1,Bajra
405.55223,22.0,3.1,Bajra
405.5545,22.0,3.1,Bajra
405.55882,22.0,3.1,Bajra
405.57143,22.0,3.1,Bajra
405.62553,22.0,3.1,Bajra
405.67123,22.0,3.1,Bajra
405.67568,22.0,3.1,Bajra
405.68639,22.0,3.1,Bajra
405.69268,22.0,3.1,Bajra
405.69597,22.0,3.1,Bajra
405.69822,22.0,3.1,Bajra
405.70166,22.0,3.1,Bajra
405.70297,22.0,3.1,Bajra
405.73332,22.0,3.1,Bajra
405.7479,22.0,3.1,Bajra
405.75216,22.0,3.1,Bajra
405.76,22.0,3.1,Bajra
405.76,22.0,3.1,Bajra
405.78571,22.0,3.1,Bajra
405.83448,22.0,3.1,Bajra
405.84531,22.0,3.1,Bajra
405.85542,22.0,3.1,Bajra
405.86047,22.0,3.1,Bajra
405.87368,22.0,3.1,Bajra
405.88462,22.0,3.1,Bajra
405.92806,22.0,3.1,Bajra
405.93605,22.0,3.1,Bajra
405.93752,22.0,3.1,Bajra
405.9485,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,22.0,3.1,Bajra
406.0,23.0,3.1,Bajra
406.0056,23.0,3.1,Bajra
406.05545,23.0,3.1,Bajra
406.07343,23.0,3.1,Bajra
406.07731,23.0,3.1,Bajra
406.08659,23.0,3.1,Bajra
406.09091,23.0,3.1,Bajra
406.11009,23.0,3.1,Bajra
406.12,23.0,3.1,Bajra
406.12766,23.0,3.1,Bajra
406.12766,23.0,3.1,Bajra
406.13396,23.0,3.1,Bajra
406.14007,23.0,3.1,Bajra
406.14094,23.0,3.1,Bajra
406.14227,23.0,3.1,Bajra
406.14327,23.0,3.1,Bajra
406.14634,23.0,3.1,Bajra
406.14907,23.0,3.1,Bajra
406.15789,23.0,3.1,Bajra
406.16797,23.0,3.1,Bajra
406.17143,23.0,3.1,Bajra
406.17718,23.0,3.1,Bajra
406.18072,23.0,3.1,Bajra
406.1875,23.0,3.1,Bajra
406.20936,23.0,3.1,Bajra
406.21308,23.0,3.1,Bajra
406.218,23.0,3.1,Bajra
406.24,23.0,3.1,Bajra
406.244,23.0,3.1,Bajra
406.26087,23.0,3.1,Bajra
406.26087,23.0,3.1,Bajra
406.26087,23.0,3.1,Bajra
406.26187,23.0,3.1,Bajra
406.27557,23.0,3.1,Bajra
406.28571,23.0,3.1,Bajra
407.6408,23.0,3.1,Bajra
407.6545,23.0,3.1,Bajra
407.66705,23.0,3.1,Bajra
407.668,23.0,3.1,Bajra
407.67282,23.0,3.1,Bajra
407.68764,23.0,3.1,Bajra
407.70616,23.0,3.1,Bajra
407.71261,23.0,3.1,Bajra
407.71882,23.0,3.1,Bajra
407.71882,23.0,3.1,Bajra
407.71882,23.0,3.1,Bajra
407.71882,23.0,3.1,Bajra
407.71882,23.0,3.1,Bajra
407.71932,23.0,3.1,Bajra
407.72246,23.0,3.1,Bajra
407.76032,23.0,3.1,Bajra
407.77819,23.0,3.1,Bajra
407.80182,23.0,3.1,Bajra
407.81071,23.0,3.1,Bajra
407.81071,23.0,3.1,Bajra
407.81071,23.0,3.1,Bajra
407.81071,23.0,3.1,Bajra
407.82196,23.0,3.1,Bajra
407.85771,23.0,3.1,Bajra
407.85953,23.0,3.1,Bajra
407.86883,23.0,3.1,Bajra
407.8975,23.0,3.1,Bajra
407.91823,23.0,3.1,Bajra
407.92977,23.0,3.1,Bajra
407.95273,23.0,3.1,Bajra
407.95273,23.0,3.1,Bajra
407.95273,23.0,3.1,Bajra
407.95273,23.0,3.1,Bajra
407.97717,23.0,3.1,Bajra
407.97959,23.0,3.1,Bajra
407.98429,23.0,3.1,Bajra
407.99096,23.0,3.1,Bajra
408.047,23.0,3.1,Bajra
408.05737,23.0,3.1,Bajra
408.05737,23.0,3.1,Bajra
408.0668,23.0,3.1,Bajra
408.08639,23.0,3.1,Bajra
408.10546,23.0,3.1,Bajra
408.12793,23.0,3.1,Bajra
408.13115,23.0,3.1,Bajra
408.15492,23.0,3.1,Bajra
408.1906,23.0,3.1,Bajra
408.20125,23.0,3.1,Bajra
408.20125,23.0,3.1,Bajra
408.20125,23.0,3.1,Bajra
408.20125,23.0,3.1,Bajra
408.20125,23.0,3.1,Bajra
408.20125,23.0,3.1,Bajra
408.23341,23.0,3.1,Bajra
408.23675,23.0,3.1,Bajra
408.25728,23.0,3.1,Bajra
408.27749,23.0,3.1,Bajra
408.28881,23.0,3.1,Bajra
408.29552,23.0,3.1,Bajra
408.29981,23.0,3.1,Bajra
408.31221,23.0,3.1,Bajra
408.3136,23.0,3.1,Bajra
408.31966,23.0,3.1,Bajra
408.33143,23.0,3.1,Bajra
408.33225,23.0,3.1,Bajra
408.34216,23.0,3.1,Bajra
408.34347,23.0,3.1,Bajra
408.34513,23.0,3.1,Bajra
408.34652,23.0,3.1,Bajra
408.36008,23.0,3.1,Bajra
408.41154,23.0,3.1,Bajra
408.44423,23.0,3.1,Bajra
408.46581,23.0,3.1,Bajra
408.46581,23.0,3.1,Bajra
408.4802,23.0,3.1,Bajra
408.49672,23.0,3.1,Bajra
408.505,23.0,3.1,Bajra
408.51607,23.0,3.1,Bajra
408.54533,23.0,3.1,Bajra
408.55783,23.0,3.1,Bajra
408.57463,23.0,3.1,Bajra
408.5819,23.0,3.1,Bajra
408.58637,23.0,3.1,Bajra
408.59179,23.0,3.1,Bajra
408.5952,23.0,3.1,Bajra
408.59937,23.0,3.1,Bajra
408.61545,23.0,3.1,Bajra
408.61545,23.0,3.1,Bajra
408.61545,23.0,3.1,Bajra
408.63233,23.0,3.1,Bajra
408.63294,23.0,3.1,Bajra
408.64735,23.0,3.1,Bajra
408.67036,23.0,3.1,Bajra
408.67737,23.0,3.1,Bajra
408.68672,23.0,3.1,Bajra
408.69192,23.0,3.1,Bajra
408.6953,23.0,3.1,Bajra
408.69606,23.0,3.1,Bajra
408.69889,23.0,3.1,Bajra
408.748,23.0,3.1,Bajra
408.748,23.0,3.1,Bajra
408.748,23.0,3.1,Bajra
408.748,23.0,3.1,Bajra
408.748,23.0,3.1,Bajra
408.748,23.0,3.1,Bajra
408.748,23.0,3.1,Bajra
408.748,23.0,3.1,Bajra
408.748,23.0,3.1,Bajra
408.748,23.0,3.1,Bajra
408.748,23.0,3.1,Bajra
408.748,23.0,3.1,Bajra
408.748,23.0,3.1,Bajra
408.748,23.0,3.1,Bajra
408.748,23.0,3.1,Bajra
408.7583,23.0,3.1,Bajra
408.78741,23.0,3.1,Bajra
408.78776,23.0,3.1,Bajra
408.80875,23.0,3.1,Bajra
408.81715,23.0,3.1,Bajra
408.82705,23.0,3.1,Bajra
408.83149,23.0,3.1,Bajra
408.85214,23.0,3.1,Bajra
408.85468,23.0,3.1,Bajra
408.85645,23.0,3.1,Bajra
408.87478,23.0,3.1,Bajra
408.87689,23.0,3.1,Bajra
408.89037,23.0,3.1,Bajra
408.89627,23.0,3.1,Bajra
408.90369,23.0,3.1,Bajra
408.90369,23.0,3.1,Bajra
408.90472,23.0,3.1,Bajra
408.90613,23.0,3.1,Bajra
408.91835,23.0,3.1,Bajra
408.91956,23.0,3.1,Bajra
408.92653,23.0,3.1,Bajra
408.93318,23.0,3.1,Bajra
408.9347,23.0,3.1,Bajra
408.94487,23.0,3.1,Bajra
408.94682,23.0,3.1,Bajra
408.9667,23.0,3.1,Bajra
408.98767,23.0,3.1,Bajra
408.99028,23.0,3.1,Bajra
409.00529,23.0,3.1,Bajra
409.00529,23.0,3.1,Bajra
409.00529,23.0,3.1,Bajra
409.00529,23.0,3.1,Bajra
409.03222,23.0,3.1,Bajra
409.04966,23.0,3.1,Bajra
409.06257,23.0,3.1,Bajra
409.06805,23.0,3.1,Bajra
409.06805,23.0,3.1,Bajra
409.07811,23.0,3.1,Bajra
409.08366,23.0,3.1,Bajra
409.1125,23.0,3.1,Bajra
409.1125,23.0,3.1,Bajra
409.1125,23.0,3.1,Bajra
409.11832,23.0,3.1,Bajra
409.13273,23.0,3.1,Bajra
409.14054,23.0,3.1,Bajra
409.14882,23.0,3.1,Bajra
409.16021,23.0,3.1,Bajra
409.19261,23.0,3.1,Bajra
409.20842,23.0,3.1,Bajra
409.225,23.0,3.1,Bajra
409.234,23.0,3.1,Bajra
409.234,23.0,3.1,Bajra
409.24851,23.0,3.1,Bajra
409.25269,23.0,3.1,Bajra
409.2566,23.0,3.1,Bajra
409.26308,23.0,3.1,Bajra
409.27098,23.0,3.1,Bajra
409.27717,23.0,3.1,Bajra
409.29527,23.0,3.1,Bajra
409.30638,23.0,3.1,Bajra
409.33775,23.0,3.1,Bajra
409.37286,23.0,3.1,Bajra
409.37286,23.0,3.1,Bajra
409.37286,23.0,3.1,Bajra
409.37286,23.0,3.1,Bajra
409.37286,23.0,3.1,Bajra
409.37286,23.0,3.1,Bajra
409.37286,23.0,3.1,Bajra
409.37286,23.0,3.1,Bajra
409.37286,23.0,3.1,Bajra
409.37286,23.0,3.1,Bajra
409.37286,23.0,3.1,Bajra
409.37286,23.0,3.1,Bajra
409.37286,23.0,3.1,Bajra
409.37286,23.0,3.1,Bajra
409.40026,23.0,3.1,Bajra
409.40153,23.0,3.1,Bajra
409.40529,23.0,3.1,Bajra
409.4101,23.0,3.1,Bajra
409.41138,23.0,3.1,Bajra
409.41147,23.0,3.1,Bajra
409.41209,23.0,3.1,Bajra
409.41216,23.0,3.1,Bajra
409.42658,23.0,3.1,Bajra
409.42672,23.0,3.1,Bajra
409.44386,23.0,3.1,Bajra
409.44386,23.0,3.1,Bajra
409.44386,23.0,3.1,Bajra
409.44386,23.0,3.1,Bajra
409.44956,23.0,3.1,Bajra
409.46062,23.0,3.1,Bajra
409.46164,23.0,3.1,Bajra
409.46273,23.0,3.1,Bajra
409.47965,23.0,3.1,Bajra
409.48716,23.0,3.1,Bajra
409.49094,23.0,3.1,Bajra
409.49535,23.0,3.1,Bajra
409.49649,23.0,3.1,Bajra
409.49694,23.0,3.1,Bajra
409.49909,23.0,3.1,Bajra
409.5087,23.0,3.1,Bajra
409.51665,23.0,3.1,Bajra
409.51705,23.0,3.1,Bajra
409.52752,23.0,3.1,Bajra
409.54496,23.0,3.1,Bajra
409.55664,23.0,3.1,Bajra
409.55888,23.0,3.1,Bajra
409.56293,23.0,3.1,Bajra
409.56373,23.0,3.1,Bajra
409.56813,23.0,3.1,Bajra
409.58114,23.0,3.1,Bajra
409.60146,23.0,3.1,Bajra
409.60146,23.0,3.1,Bajra
409.6228,23.0,3.1,Bajra
409.62785,23.0,3.1,Bajra
409.63806,23.0,3.1,Bajra
409.64677,23.0,3.1,Bajra
409.64853,23.0,3.1,Bajra
409.64853,23.0,3.1,Bajra
409.65336,23.0,3.1,Bajra
409.65525,23.0,3.1,Bajra
409.65688,23.0,3.1,Bajra
409.65925,23.0,3.1,Bajra
409.65943,23.0,3.1,Bajra
409.6623,23.0,3.1,Bajra
409.66349,23.0,3.1,Bajra
409.66562,23.0,3.1,Bajra
409.66884,23.0,3.1,Bajra
409.67029,23.0,3.1,Bajra
409.67315,23.0,3.1,Bajra
409.68974,23.0,3.1,Bajra
409.70391,23.0,3.1,Bajra
409.71272,23.0,3.1,Bajra
409.72,23.0,3.1,Bajra
409.72,23.0,3.1,Bajra
409.72,23.0,3.1,Bajra
409.72,23.0,3.1,Bajra
409.72,23.0,3.1,Bajra
409.72,23.0,3.1,Bajra
409.72,23.0,3.1,Bajra
409.72,23.0,3.1,Bajra
409.72497,23.0,3.1,Bajra
409.73259,23.0,3.1,Bajra
409.74928,23.0,3.1,Bajra
409.78772,23.0,3.1,Bajra
409.79594,23.0,3.1,Bajra
409.80379,23.0,3.1,Bajra
409.80379,23.0,3.1,Bajra
409.80921,23.0,3.1,Bajra
409.8415,23.0,3.1,Bajra
409.8415,23.0,3.1,Bajra
409.8415,23.0,3.1,Bajra
409.84789,23.0,3.1,Bajra
409.855,23.0,3.1,Bajra
409.85515,23.0,3.1,Bajra
409.87053,23.0,3.1,Bajra
409.89357,23.0,3.1,Bajra
409.89357,23.0,3.1,Bajra
409.90061,23.0,3.1,Bajra
409.94091,23.0,3.1,Bajra
409.94091,23.0,3.1,Bajra
409.94091,23.0,3.1,Bajra
409.94091,23.0,3.1,Bajra
409.9544,23.0,3.1,Bajra
409.99048,23.0,3.1,Bajra
409.99771,23.0,3.1,Bajra
409.99888,23.0,3.1,Bajra
409.99927,23.0,3.1,Bajra
410.00831,23.0,3.1,Bajra
410.0116,23.0,3.1,Bajra
410.02375,23.0,3.1,Bajra
410.02375,23.0,3.1,Bajra
410.02375,23.0,3.1,Bajra
410.02638,23.0,3.1,Bajra
410.02805,23.0,3.1,Bajra
410.0532,23.0,3.1,Bajra
410.0544,23.0,3.1,Bajra
410.05611,23.0,3.1,Bajra
410.0602,23.0,3.1,Bajra
410.0602,24.0,3.1,Bajra
410.06288,24.0,3.1,Bajra
410.09385,24.0,3.1,Bajra
410.09385,24.0,3.1,Bajra
410.09385,24.0,3.1,Bajra
410.10111,24.0,3.1,Bajra
410.11696,24.0,3.1,Bajra
410.11743,24.0,3.1,Bajra
410.14525,24.0,3.1,Bajra
410.15002,24.0,3.1,Bajra
410.17664,24.0,3.1,Bajra
410.18226,24.0,3.1,Bajra
410.18603,24.0,3.1,Bajra
410.20368,24.0,3.1,Bajra
410.206,24.0,3.1,Bajra
410.21294,24.0,3.1,Bajra
410.2151,24.0,3.1,Bajra
410.21529,24.0,3.1,Bajra
410.22252,24.0,3.1,Bajra
410.22952,24.0,3.1,Bajra
410.23275,24.0,3.1,Bajra
410.23702,24.0,3.1,Bajra
410.24604,24.0,3.1,Bajra
410.2548,24.0,3.1,Bajra
410.25673,24.0,3.1,Bajra
410.2587,24.0,3.1,Bajra
410.26551,24.0,3.1,Bajra
410.28297,24.0,3.1,Bajra
410.28582,24.0,3.1,Bajra
410.29176,24.0,3.1,Bajra
410.29176,24.0,3.1,Bajra
410.29176,24.0,3.1,Bajra
410.29924,24.0,3.1,Bajra
410.33405,24.0,3.1,Bajra
410.33582,24.0,3.1,Bajra
410.33855,24.0,3.1,Bajra
410.33855,24.0,3.1,Bajra
410.34071,24.0,3.1,Bajra
410.34371,24.0,3.1,Bajra
410.3471,24.0,3.1,Bajra
410.35947,24.0,3.1,Bajra
410.35947,24.0,3.1,Bajra
410.36433,24.0,3.1,Bajra
410.36547,24.0,3.1,Bajra
410.36791,24.0,3.1,Bajra
410.37709,24.0,3.3,Bajra
410.37791,24.0,3.3,Bajra
410.38113,24.0,3.3,Bajra
410.38273,24.0,3.3,Bajra
410.38825,24.0,3.3,Bajra
410.40918,24.0,3.3,Bajra
410.41429,24.0,3.3,Bajra
410.41456,24.0,3.3,Bajra
410.4185,24.0,3.3,Bajra
410.43031,24.0,3.3,Bajra
410.43795,24.0,3.3,Bajra
410.44793,24.0,3.3,Bajra
410.45488,24.0,3.3,Bajra
410.46405,24.0,3.3,Bajra
410.46769,24.0,3.3,Bajra
410.47842,24.0,3.3,Bajra
410.48577,24.0,3.3,Bajra
410.49765,24.0,3.3,Bajra
410.49771,24.0,3.3,Bajra
410.51843,24.0,3.3,Bajra
410.53,24.0,3.3,Bajra
410.53,24.0,3.3,Bajra
410.53027,24.0,3.3,Bajra
410.54446,24.0,3.3,Bajra
410.55793,24.0,3.3,Bajra
410.55793,24.0,3.3,Bajra
410.57561,24.0,3.3,Bajra
410.57971,24.0,3.3,Bajra
410.57999,24.0,3.3,Bajra
410.58563,24.0,3.3,Bajra
410.59617,24.0,3.3,Bajra
410.59921,24.0,3.3,Bajra
410.60613,24.0,3.3,Bajra
410.61819,24.0,3.3,Bajra
410.62212,24.0,3.3,Bajra
410.63946,24.0,3.3,Bajra
410.63946,24.0,3.3,Bajra
410.66163,24.0,3.3,Bajra
410.67679,24.0,3.3,Bajra
410.6807,24.0,3.3,Bajra
410.68648,24.0,3.3,Bajra
410.70559,24.0,3.3,Bajra
410.72059,24.0,3.3,Bajra
410.73797,24.0,3.3,Bajra
410.74224,24.0,3.3,Bajra
410.746,24.0,3.3,Bajra
410.74721,24.0,3.3,Bajra
410.74853,24.0,3.3,Bajra
410.76261,24.0,3.3,Bajra
410.7954,24.0,3.3,Bajra
410.82408,24.0,3.3,Bajra
410.82883,24.0,3.3,Bajra
410.83344,24.0,3.3,Bajra
410.88368,24.0,3.3,Bajra
410.89229,24.0,3.3,Bajra
410.91077,24.0,3.3,Bajra
410.91606,24.0,3.3,Bajra
410.92264,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,24.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.935,25.0,3.3,Bajra
410.94171,25.0,3.3,Bajra
410.9467,25.0,3.3,Bajra
410.94862,25.0,3.3,Bajra
410.95477,25.0,3.3,Bajra
410.96174,25.0,3.3,Bajra
410.99013,25.0,3.3,Bajra
410.99595,25.0,3.3,Bajra
410.99825,25.0,3.3,Bajra
411.00009,25.0,3.3,Bajra
411.00084,25.0,3.3,Bajra
411.00236,25.0,3.3,Bajra
411.01098,25.0,3.3,Bajra
411.04221,25.0,3.3,Bajra
411.05195,25.0,3.3,Bajra
411.06835,25.0,3.3,Bajra
411.07764,25.0,3.3,Bajra
411.0808,25.0,3.3,Bajra
411.08711,25.0,3.3,Bajra
411.09348,25.0,3.3,Bajra
411.09348,25.0,3.3,Bajra
411.09821,25.0,3.3,Bajra
411.09877,25.0,3.3,Bajra
411.10773,25.0,3.3,Bajra
411.12333,25.0,3.3,Bajra
411.13382,25.0,3.3,Bajra
411.1423,25.0,3.3,Bajra
411.1537,25.0,3.3,Bajra
411.16766,25.0,3.3,Bajra
411.178,25.0,3.3,Bajra
411.1893,25.0,3.3,Bajra
411.1893,25.0,3.3,Bajra
411.21301,25.0,3.3,Bajra
411.23054,25.0,3.3,Bajra
411.24249,25.0,3.3,Bajra
411.26899,25.0,3.3,Bajra
411.27672,25.0,3.3,Bajra
411.28774,25.0,3.3,Bajra
411.29709,25.0,3.3,Bajra
411.29757,25.0,3.3,Bajra
411.3036,25.0,3.3,Bajra
411.32554,25.0,3.3,Bajra
411.33981,25.0,3.3,Bajra
411.34,25.0,3.3,Bajra
411.34,25.0,3.3,Bajra
411.35558,25.0,3.3,Bajra
411.3724,25.0,3.3,Bajra
411.3724,25.0,3.3,Bajra
411.38941,25.0,3.3,Bajra
411.39011,25.0,3.3,Bajra
411.39432,25.0,3.3,Bajra
411.39445,25.0,3.3,Bajra
411.39588,25.0,3.3,Bajra
411.40097,25.0,3.3,Bajra
411.41043,25.0,3.3,Bajra
411.41043,25.0,3.3,Bajra
411.41642,25.0,3.3,Bajra
411.42198,25.0,3.3,Bajra
411.42463,25.0,3.3,Bajra
411.43641,25.0,3.3,Bajra
411.43969,25.0,3.3,Bajra
411.43969,25.0,3.3,Bajra
411.45571,25.0,3.3,Bajra
411.45571,25.0,3.3,Bajra
411.45571,25.0,3.3,Bajra
411.49408,25.0,3.3,Bajra
411.51053,25.0,3.3,Bajra
411.52608,25.0,3.3,Bajra
411.53145,25.0,3.3,Bajra
411.53145,25.0,3.3,Bajra
411.53786,25.0,3.3,Bajra
411.5425,25.0,3.3,Bajra
411.5425,25.0,3.3,Bajra
411.54663,25.0,3.3,Bajra
